Month,Diesel Price (Indian Rupee per Gallon),Crude Oil (petroleum) Price (Indian Rupee per Barrel),Diesel ROC(%),Crude Oil (petroleum) ROC(%),Diesel / Crude Oil (petroleum) Price Ratio,Disel_per_liter,Crude_oil_per_liter
Jun-06,96.3,3145.13,-,-,0.0306,25.47619048,19.78069182
Jul-06,102.99,3365.75,0.07,0.07,0.0306,27.24603175,21.16823899
Aug-06,104.57,3341.97,0.02,-0.01,0.0313,27.66402116,21.01867925
Sep-06,83.48,2865.03,-0.20,-0.14,0.0291,22.08465608,18.0190566
Oct-06,81.57,2633.08,-0.02,-0.08,0.031,21.57936508,16.56025157
Nov-06,81.24,2607.99,0.00,-0.01,0.0311,21.49206349,16.40245283
Dec-06,81.82,2722.26,0.01,0.04,0.0301,21.64550265,17.12113208
Jan-07,72.27,2373.05,-0.12,-0.13,0.0305,19.11904762,14.92484277
Feb-07,77.68,2541.99,0.07,0.07,0.0306,20.55026455,15.98735849
Mar-07,83.25,2667.95,0.07,0.05,0.0312,22.02380952,16.77955975
Apr-07,86.54,2742.35,0.04,0.03,0.0316,22.89417989,17.24748428
May-07,83.38,2658.01,-0.04,-0.03,0.0314,22.05820106,16.71704403
Jun-07,86.42,2779.56,0.04,0.05,0.0311,22.86243386,17.48150943
Jul-07,86.73,2974.64,0.00,0.07,0.0292,22.94444444,18.70842767
Aug-07,85.96,2862.54,-0.01,-0.04,0.03,22.74074074,18.00339623
Sep-07,93.59,3096.50,0.09,0.08,0.0302,24.75925926,19.47484277
Oct-07,95.5,3238.90,0.02,0.05,0.0295,25.26455026,20.37044025
Nov-07,106.49,3602.45,0.12,0.11,0.0296,28.17195767,22.65691824
Dec-07,103.77,3530.67,-0.03,-0.02,0.0294,27.45238095,22.2054717
Jan-08,101.98,3570.71,-0.02,0.01,0.0286,26.97883598,22.4572956
Feb-08,110.21,3710.34,0.08,0.04,0.0297,29.15608466,23.3354717
Mar-08,131.28,4109.92,0.19,0.11,0.0319,34.73015873,25.84855346
Apr-08,137.83,4353.72,0.05,0.06,0.0317,36.46296296,27.38188679
May-08,160.96,5165.85,0.17,0.19,0.0312,42.58201058,32.48962264
Jun-08,166.44,5631.69,0.03,0.09,0.0296,44.03174603,35.41943396
Jul-08,164.71,5689.98,-0.01,0.01,0.0289,43.57407407,35.78603774
Aug-08,140.54,4919.52,-0.15,-0.14,0.0286,37.17989418,30.94037736
